;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";65.11;242.47;5528.98;;0;23.16;16.84;0.05;45.94
"triceps_brachii_long_(right)";49.15;252.15;19046.88;;1;26.12;17.5;;46.36
;;;;;2;27.29;17.39;;46.81
;;;;;3;25.23;15.72;;47.36
;;;;;4;38.87;17.09;;48.05
;;;;;5;59.42;22.39;;48.87
;;;;;6;60.12;23.62;;49.69
;;;;;7;45.14;34.34;;50.28
;;;;;8;32.49;35.39;;50.56
;;;;;9;24.45;19.9;;50.6
;;;;;10;33.19;23.6;;50.53
;;;;;11;35.09;24.94;;50.49
;;;;;12;23.79;18.61;;50.47
;;;;;13;16.77;21.14;;50.47
;;;;;14;11.87;20.16;;50.52
;;;;;15;10.88;29.72;;50.53
;;;;;16;20.88;29.06;;50.49
;;;;;17;23.33;16.92;;50.39
;;;;;18;20.55;23.24;;50.15
;;;;;19;22.31;21.58;;49.97
;;;;;20;23.92;13.28;;50.02
;;;;;21;24.83;13.06;;50.25
;;;;;22;26.45;14.24;;50.6
;;;;;23;25;13.47;;50.98
;;;;;24;20.45;12.55;;51.3
;;;;;25;19.83;12.8;;51.52
;;;;;26;21.21;12.62;;51.54
;;;;;27;21.39;13.05;;51.54
;;;;;28;21.28;13.18;;52.04
;;;;;29;20.81;13.02;;53.25
;;;;;30;19.61;12.16;;54.89
;;;;;31;20.07;11.49;;56.58
;;;;;32;20.21;12.34;;58.2
;;;;;33;30.15;17.38;;59.71
;;;;;34;44.98;108.11;;61.17
;;;;;35;43.64;116.07;;62.72
;;;;;36;28.31;52.78;;64.33
;;;;;37;147.43;52.88;;65.85
;;;;;38;178.62;62.62;;67.19
;;;;;39;128.33;97.68;;68.23
;;;;;40;111.37;93.3;;69
;;;;;41;90.12;46.33;;69.47
;;;;;42;78.9;40.98;;69.51
;;;;;43;75.37;50.14;;69.26
;;;;;44;59.7;115.07;;68.96
;;;;;45;52.86;108.94;;68.69
;;;;;46;58.49;38.62;;68.44
;;;;;47;121.72;50.97;;68.23
;;;;;48;185.78;63.74;;68.12
;;;;;49;174.37;66.49;;68.09
;;;;;50;132.59;229.27;;68.07
;;;;;51;127.22;226.86;;68.08
;;;;;52;92.38;32.4;;68.06
;;;;;53;88.92;42.78;;68
;;;;;54;86.56;56.25;;67.91
;;;;;55;60.97;100.03;;67.78
;;;;;56;53.1;107.97;;67.63
;;;;;57;37.38;60.15;;67.47
;;;;;58;45.21;30.97;;67.34
;;;;;59;159.98;41.81;;67.33
;;;;;60;242.47;65.4;;67.41
;;;;;61;196.97;241.86;;67.93
;;;;;62;80.69;252.15;;68.84
;;;;;63;68.75;91.84;;69.54
;;;;;64;67.08;24.7;;69.94
;;;;;65;62.82;18.08;;70.45
;;;;;66;62.77;96.86;;71.09
;;;;;67;62.06;122.27;;71.53
;;;;;68;56.09;76.94;;71.78
;;;;;69;44.11;22.89;;71.85
;;;;;70;89.51;45.01;;72.01
;;;;;71;130.05;53.25;;72.48
;;;;;72;113.74;63.29;;73.21
;;;;;73;89.63;124.5;;74.13
;;;;;74;92.37;114.02;;74.91
;;;;;75;89.11;28.07;;75.37
;;;;;76;75.55;22.45;;75.7
;;;;;77;53.49;26.17;;76.12
;;;;;78;57.75;74.39;;76.74
;;;;;79;57.26;83.28;;77.6
;;;;;80;40.24;48.99;;78.64
;;;;;81;47.82;28.3;;79.59
;;;;;82;87.1;40.97;;80.35
;;;;;83;115.44;52.61;;81.05
;;;;;84;126.13;50.99;;81.63
;;;;;85;104.71;47.8;;81.83
;;;;;86;70.18;36.09;;81.68
;;;;;87;68.64;20.3;;81.31
;;;;;88;68.74;19.4;;80.85
;;;;;89;61.33;23.56;;80.31
;;;;;90;64.43;64.29;;79.61
;;;;;91;58.81;64.31;;78.79
;;;;;92;30.06;31.12;;77.85
;;;;;93;23.05;30.35;;76.8
;;;;;94;47.22;27.71;;75.73
;;;;;95;117.53;44.12;;74.71
;;;;;96;125.38;51.69;;73.7
;;;;;97;81.96;43.57;;72.8
;;;;;98;75.62;32.16;;72.15
;;;;;99;68.49;21.59;;71.68
;;;;;100;60.22;22.16;;71.41
;;;;;101;61.67;53.69;;71.34
;;;;;102;52.65;71.53;;71.4
;;;;;103;37.85;59.32;;71.53
;;;;;104;33.2;41.21;;71.65
;;;;;105;58.78;35.59;;71.68
;;;;;106;143.08;44.84;;71.6
;;;;;107;149.9;52.29;;71.45
;;;;;108;86.45;45.79;;71.31
;;;;;109;68.15;48.02;;71.22
;;;;;110;60.97;42.33;;71.22
;;;;;111;54.72;23.03;;71.31
;;;;;112;51.55;19.89;;71.46
;;;;;113;47.96;38.92;;71.59
;;;;;114;41.08;40.73;;71.68
;;;;;115;32.54;31.12;;71.74
;;;;;116;26.94;29.88;;71.79
;;;;;117;62.23;25.41;;71.85
;;;;;118;95.4;35.55;;71.94
;;;;;119;92.59;43.82;;72.05
;;;;;120;77.25;44.89;;72.17
;;;;;121;68.34;48.8;;72.3
;;;;;122;53.7;42.68;;72.39
;;;;;123;54.24;36.72;;72.44
;;;;;124;67.49;42.89;;72.46
;;;;;125;74.07;39.89;;72.45
;;;;;126;54.25;30.78;;72.4
;;;;;127;20.85;23.54;;72.36
;;;;;128;61.58;28.73;;72.34
;;;;;129;111.91;46.79;;72.33
;;;;;130;112.5;51.54;;72.33
;;;;;131;74.96;120.65;;72.34
;;;;;132;63.79;122.55;;72.35
;;;;;133;70.2;57.75;;72.38
;;;;;134;67.08;63.74;;72.41
;;;;;135;54.32;55.95;;72.45
;;;;;136;60.29;38.96;;72.47
;;;;;137;52.55;26.86;;72.47
;;;;;138;31.18;18.98;;72.48
;;;;;139;99.3;31.63;;72.53
;;;;;140;148.8;41.43;;72.6
;;;;;141;122.1;44.16;;72.65
;;;;;142;61.67;53.36;;72.6
;;;;;143;65.23;57.25;;72.44
;;;;;144;62.84;52.57;;72.32
;;;;;145;54.39;46.63;;72.3
;;;;;146;50.29;43.8;;72.33
;;;;;147;43.24;43.68;;72.34
;;;;;148;43.88;43.22;;72.33
;;;;;149;44.69;43.21;;72.33
;;;;;150;43.62;41.39;;72.37
;;;;;151;49.39;43.65;;72.44
;;;;;152;49.62;44.78;;72.52
;;;;;153;45.45;46.13;;72.61
;;;;;154;44.86;46.97;;72.65
;;;;;155;44.06;43.76;;72.6
;;;;;156;44.62;42.6;;72.44
;;;;;157;43.91;42.6;;72.26
;;;;;158;40.97;43.64;;72.16
;;;;;159;41.22;47.03;;72.15
;;;;;160;54.49;67.68;;72.23
;;;;;;161;;;72.3
;;;;;;162;;;72.34
;;;;;;163;;;72.36
;;;;;;164;;;72.4
;;;;;;165;;;72.48
;;;;;;166;;;72.58
;;;;;;167;;;72.65
;;;;;;168;;;72.66
;;;;;;169;;;72.66
;;;;;;170;;;72.66
;;;;;;171;;;72.61
;;;;;;172;;;72.4
;;;;;;173;;;71.62
;;;;;;174;;;69.17
;;;;;;175;;;63.39
;;;;;;176;;;53.41
;;;;;;177;;;40.26
;;;;;;178;;;24.7
;;;;;;179;;;7.18
;;;;;;180;;;-11.1
;;;;;;181;;;-28.08
;;;;;;182;;;-40.62
