;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
"biceps_brachii_(right)";104.5;214.62;5528.98;;0;22.79;10.66;0.05;75.52
"triceps_brachii_lateral_(right)";60.54;122.34;341.01;;1;24.42;11.02;;75.5
;;;;;2;22.31;11.65;;75.46
;;;;;3;20.06;11.15;;75.37
;;;;;4;20.8;10.17;;75.29
;;;;;5;22.67;11.52;;75.27
;;;;;6;22.46;11.73;;75.25
;;;;;7;22.26;11.05;;75.18
;;;;;8;23.76;10.88;;75.09
;;;;;9;22.54;10.23;;75.01
;;;;;10;23.62;11.25;;74.98
;;;;;11;164.9;15.18;;75
;;;;;12;179.31;43.04;;75.06
;;;;;13;93.92;64.26;;75.12
;;;;;14;116.33;79.61;;75.07
;;;;;15;119.69;69.56;;74.86
;;;;;16;102.03;44.58;;74.64
;;;;;17;90.04;48.9;;74.41
;;;;;18;56.76;55.95;;74.2
;;;;;19;86.83;63.66;;74.15
;;;;;20;106.96;72.6;;74.22
;;;;;21;89.27;61.19;;74.3
;;;;;22;66.91;35;;74.33
;;;;;23;90.36;68.3;;74.32
;;;;;24;88.95;80.51;;74.28
;;;;;25;92.43;80.87;;74.21
;;;;;26;142.14;85.97;;74.14
;;;;;27;148.14;66.95;;74.15
;;;;;28;145.71;52.59;;74.24
;;;;;29;126.47;53.82;;74.33
;;;;;30;78.92;56.79;;74.38
;;;;;31;147.83;65.65;;74.34
;;;;;32;154.17;75.42;;74.28
;;;;;33;175.54;70.21;;74.28
;;;;;34;176.97;54.88;;74.38
;;;;;35;105.15;64.55;;74.53
;;;;;36;88.7;76.24;;74.7
;;;;;37;114.09;84.95;;74.85
;;;;;38;139.82;93.75;;74.98
;;;;;39;214.62;89.12;;75.04
;;;;;40;206.24;75.1;;75.04
;;;;;41;88.45;72.92;;74.99
;;;;;42;76.17;85.35;;74.88
;;;;;43;89.22;75.14;;74.71
;;;;;44;106.34;68.42;;74.54
;;;;;45;103.62;65.96;;74.44
;;;;;46;122.24;70.05;;74.47
