;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_lateral_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_lateral_(right)
"biceps_brachii_(right)";60.01;109.77;5528.98;;0;41.85;18.82;0.05;100.65
"triceps_brachii_lateral_(right)";39.68;75.33;341.01;;1;36.71;16.02;;101.74
;;;;;2;34.36;13.4;;102.24
;;;;;3;30.5;12.93;;102.29
;;;;;4;30.55;13.24;;102.09
;;;;;5;30.87;12.73;;101.81
;;;;;6;27.23;13.12;;101.61
;;;;;7;23.3;13.35;;101.5
;;;;;8;26.32;12.78;;101.33
;;;;;9;26.76;12.06;;101.19
;;;;;10;24.68;11.23;;101.27
;;;;;11;26.32;10.89;;101.37
;;;;;12;24.34;10.21;;101.42
;;;;;13;22.74;11.48;;101.45
;;;;;14;23.85;13.35;;101.45
;;;;;15;24.55;12.97;;101.47
;;;;;16;24.73;11.59;;101.56
;;;;;17;25.04;10.88;;101.64
;;;;;18;26.16;11.41;;101.69
;;;;;19;25.03;12.26;;101.69
;;;;;20;24.19;13.79;;101.66
;;;;;21;24.39;14.43;;101.61
;;;;;22;25.43;14.93;;101.51
;;;;;23;25.96;14.72;;101.39
;;;;;24;26.52;13.72;;101.22
;;;;;25;26.67;15.21;;101
;;;;;26;25.04;15.4;;100.7
;;;;;27;101.55;49.68;;100.34
;;;;;28;107.36;61.1;;100
;;;;;29;46.15;46.06;;99.72
;;;;;30;46.85;39.65;;99.49
;;;;;31;75.34;53.95;;99.29
;;;;;32;88.48;56.77;;99.14
;;;;;33;85.04;41.19;;98.99
;;;;;34;70.56;31.68;;98.78
;;;;;35;76.3;41.47;;98.52
;;;;;36;73.3;52.14;;98.25
;;;;;37;36.82;43.95;;97.93
;;;;;38;42.33;37.61;;97.56
;;;;;39;71.11;53.01;;97.16
;;;;;40;81.31;55.41;;96.77
;;;;;41;69.88;42.26;;96.38
;;;;;42;63.76;28.88;;96.03
;;;;;43;58.4;44.8;;95.73
;;;;;44;48.21;55.43;;95.45
;;;;;45;39.8;46.78;;95.18
;;;;;46;56.88;47.05;;94.95
;;;;;47;80.02;54.05;;94.72
;;;;;48;71.87;50.03;;94.49
;;;;;49;61.81;32.59;;94.28
;;;;;50;68.73;41.02;;94.09
;;;;;51;63.27;49.5;;93.91
;;;;;52;48.37;47.34;;93.79
;;;;;53;55.84;46.68;;93.68
;;;;;54;67.53;50.37;;93.53
;;;;;55;78.07;61.23;;93.35
;;;;;56;82.94;51.38;;93.21
;;;;;57;69.08;28.25;;93.08
;;;;;58;73.57;40.54;;92.95
;;;;;59;76.63;51.5;;92.8
;;;;;60;50.89;50.84;;92.63
;;;;;61;37.75;46.7;;92.46
;;;;;62;85.98;58.46;;92.3
;;;;;63;109.77;67.01;;92.14
;;;;;64;93.77;51.5;;92.02
;;;;;65;74.93;35.41;;91.93
;;;;;66;68.28;37.14;;91.85
;;;;;67;62.28;49.65;;91.75
;;;;;68;47.81;51.02;;91.62
;;;;;69;39.82;42.05;;91.49
;;;;;70;78.86;60.98;;91.41
;;;;;71;108.34;75.33;;91.39
;;;;;72;106.58;63.57;;91.43
;;;;;73;101.98;46.07;;91.49
;;;;;74;99.96;50.05;;91.51
;;;;;75;77.41;51.59;;91.49
;;;;;76;48.05;47.26;;91.42
;;;;;77;35.42;43.34;;91.31
;;;;;78;57.5;48.6;;91.2
;;;;;79;88.48;60.27;;91.11
;;;;;80;94.07;57.57;;91.03
;;;;;81;95.14;43.66;;90.98
;;;;;82;81.06;26.74;;90.97
;;;;;83;74.59;38.31;;90.98
;;;;;84;81.47;52.87;;90.99
;;;;;85;52.92;53.26;;90.99
;;;;;86;47.01;52.66;;90.99
;;;;;87;75.75;65.61;;90.98
;;;;;88;85.16;62.91;;90.98
;;;;;89;75.17;40.89;;90.99
;;;;;90;60.95;29.08;;91.03
;;;;;91;55.38;32.62;;91.07
;;;;;92;70.09;40.04;;91.12
;;;;;93;63.55;55.29;;91.19
;;;;;94;46.39;58.33;;91.22
;;;;;95;87.25;62.32;;91.2
;;;;;96;97.57;64.71;;91.16
;;;;;97;94.2;57.11;;91.13
;;;;;98;98.87;49.72;;91.07
;;;;;99;90.29;64.65;;90.99
;;;;;100;71.48;67.81;;90.94
;;;;;101;41.78;56.72;;90.95
;;;;;102;48.6;62.52;;90.97
;;;;;103;95.56;69.15;;91.04
;;;;;104;99.39;66.53;;91.15
;;;;;105;81.8;47.31;;91.22
;;;;;106;76.33;32.63;;91.22
;;;;;107;57.7;24.76;;91.13
;;;;;108;57.57;30.24;;91.02
;;;;;109;52.34;29.24;;91
;;;;;110;41.2;22.18;;91.11
;;;;;111;40.62;20.17;;91.25
;;;;;112;44.83;19.37;;91.34
;;;;;;113;;;91.38
;;;;;;114;;;91.39
;;;;;;115;;;91.36
;;;;;;116;;;91.31
;;;;;;117;;;91.34
;;;;;;118;;;91.44
;;;;;;119;;;91.52
;;;;;;120;;;91.47
;;;;;;121;;;91.25
;;;;;;122;;;90.89
;;;;;;123;;;90.42
;;;;;;124;;;89.98
;;;;;;125;;;89.74
;;;;;;126;;;89.74
;;;;;;127;;;89.87
;;;;;;128;;;90.03
;;;;;;129;;;90.09
;;;;;;130;;;89.99
;;;;;;131;;;89.83
;;;;;;132;;;89.79
;;;;;;133;;;89.9
;;;;;;134;;;89.88
;;;;;;135;;;89.4
;;;;;;136;;;87.68
;;;;;;137;;;83.48
;;;;;;138;;;76.13
;;;;;;139;;;66.31
;;;;;;140;;;54.15
;;;;;;141;;;39.51
;;;;;;142;;;23.32
;;;;;;143;;;7.77
;;;;;;144;;;-6.49
;;;;;;145;;;-18.88
