;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";121.31;333.34;5528.98;;0;39.09;73.44;0.05;98.22
"triceps_brachii_long_(right)";93.62;222.67;19046.88;;1;37.52;72.34;;97.86
;;;;;2;46.86;72.3;;97.76
;;;;;3;55.44;72.34;;97.69
;;;;;4;57.92;74.75;;97.51
;;;;;5;51.56;72.02;;97.19
;;;;;6;39.35;72.69;;96.67
;;;;;7;35.3;73.75;;95.89
;;;;;8;34.05;74.84;;95.01
;;;;;9;34.2;74.89;;94.19
;;;;;10;34.44;72.61;;93.49
;;;;;11;40.77;73.03;;92.96
;;;;;12;51.25;74.1;;92.6
;;;;;13;49;73.55;;92.36
;;;;;14;43.08;73.27;;92.15
;;;;;15;41.01;74.48;;91.91
;;;;;16;39.06;74.51;;91.65
;;;;;17;40.29;76.07;;91.44
;;;;;18;38.35;75.36;;91.33
;;;;;19;38.81;75.46;;91.29
;;;;;20;151.27;77.64;;91.22
;;;;;21;280.53;109.27;;91.07
;;;;;22;263.53;105.67;;90.93
;;;;;23;152.28;73.72;;90.83
;;;;;24;113.88;93.31;;90.73
;;;;;25;66.7;86.19;;90.65
;;;;;26;85.9;73.21;;90.56
;;;;;27;173.16;175.06;;90.45
;;;;;28;229.17;176.15;;90.32
;;;;;29;247.28;98.7;;90.16
;;;;;30;200.55;104.87;;89.99
;;;;;31;100.56;82.94;;89.86
;;;;;32;74.89;90.71;;89.77
;;;;;33;97.66;222.67;;89.67
;;;;;34;315.42;219.5;;89.53
;;;;;35;333.34;82.17;;89.32
;;;;;36;161.51;84.35;;89.03
;;;;;37;98.33;104.63;;88.62
;;;;;38;87.13;84.58;;88.12
;;;;;39;87.5;112.15;;87.67
;;;;;40;294.67;132.6;;87.37
;;;;;41;326.62;92.2;;87.24
;;;;;42;184.49;111.22;;87.26
;;;;;43;116.36;131.05;;87.39
;;;;;44;94.99;91.82;;87.49
;;;;;45;91.6;66;;87.42
;;;;;46;154.33;100.9;;87.14
;;;;;47;294.77;105.95;;86.73
;;;;;48;279.45;95.34;;86.28
;;;;;49;148.2;103.18;;85.82
;;;;;50;116.42;101.05;;85.36
;;;;;51;84.64;88.86;;84.92
;;;;;52;99.1;111.03;;84.57
;;;;;53;206.18;118.33;;84.42
;;;;;54;228.46;81.68;;84.43
;;;;;55;158.98;87.58;;84.48
;;;;;56;100.35;106.73;;84.52
;;;;;57;84.48;84.58;;84.45
;;;;;58;76.7;105.47;;84.26
;;;;;59;152.05;117.02;;83.94
;;;;;60;200.73;81.32;;83.57
;;;;;61;158;94.19;;83.24
