;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";60.73;133.81;5528.98;;0;27.46;10.75;0.05;73.62
"triceps_brachii_long_(right)";52.97;126.73;19046.88;;1;27.79;10.86;;73.53
;;;;;2;29.67;10.05;;73.47
;;;;;3;27.75;10.36;;73.4
;;;;;4;25.76;10.04;;73.34
;;;;;5;25.75;9.48;;73.33
;;;;;6;23.18;10.66;;73.3
;;;;;7;22.61;10.45;;73.2
;;;;;8;24.32;8.3;;73.03
;;;;;9;44.38;23.75;;72.86
;;;;;10;59.97;123.07;;72.7
;;;;;11;62.93;125.69;;72.59
;;;;;12;51.79;44.02;;72.5
;;;;;13;40.51;35.44;;72.41
;;;;;14;40.4;28.88;;72.37
;;;;;15;30.09;28.06;;72.44
;;;;;16;22.51;24.24;;72.5
;;;;;17;68.62;38.41;;72.48
;;;;;18;94.62;59.19;;72.43
;;;;;19;74.41;52.36;;72.31
;;;;;20;34.03;26.65;;72
;;;;;21;23.15;25.79;;71.6
;;;;;22;28.39;68.99;;71.39
;;;;;23;59.24;94.47;;71.36
;;;;;24;90.89;85.04;;71.33
;;;;;25;88.26;65.37;;71.31
;;;;;26;58.75;46.28;;71.31
;;;;;27;45.77;61.69;;71.27
;;;;;28;46.36;110.25;;71.15
;;;;;29;77.79;121.47;;71.02
;;;;;30;133.81;112.87;;70.95
;;;;;31;132.28;102.04;;70.88
;;;;;32;72.05;62.52;;70.83
;;;;;33;26.92;17.19;;70.85
;;;;;34;27.73;31.6;;70.96
;;;;;35;25.19;118.7;;71.06
;;;;;36;87.19;126.73;;71.07
;;;;;37;119.02;80.77;;71.06
;;;;;38;93.02;66.9;;71.04
;;;;;39;49.17;33.4;;70.98
;;;;;40;36.73;30.73;;70.91
;;;;;41;58.69;52.94;;70.84
;;;;;42;98.55;73.61;;70.78
;;;;;43;102.39;72.7;;70.74
;;;;;44;62.42;46.06;;70.7
;;;;;45;38.58;33.09;;70.64
;;;;;46;34.64;53.39;;70.64
;;;;;47;99.27;88.18;;70.83
;;;;;48;117.92;99.52;;71.1
;;;;;49;88.5;80.71;;70.68
;;;;;50;66.24;50.63;;68.7
;;;;;51;34.41;22.55;;64.66
;;;;;52;31.19;38.99;;57.82
;;;;;53;94.99;71.48;;46.98
;;;;;54;121.84;79.23;;32.51
;;;;;55;98.7;66.2;;16.36
;;;;;56;65.96;48.96;;-0.53
;;;;;57;35.39;29.05;;-18.12
;;;;;58;33.63;58.06;;-32.38
;;;;;59;37.42;87.58;;-38.38
;;;;;60;60.53;81.43;;-36.96
;;;;;61;82.14;50.99;;-30.51
;;;;;62;101.35;37.43;;-20.51
;;;;;63;89.67;27.24;;-8.73
;;;;;64;41.72;37.73;;3.75
;;;;;65;38.6;48.23;;17.02
;;;;;66;85.45;92.48;;30.29
;;;;;67;92;102.24;;42.49
;;;;;68;78.53;82.88;;53.08
;;;;;69;71.84;65.7;;61.5
;;;;;70;49.7;25.2;;67.12
;;;;;71;42.86;20.21;;70.16
;;;;;72;75.55;20.92;;71.13
;;;;;73;91.24;20.1;;70.72
;;;;;74;68.21;17.05;;69.98
;;;;;75;52.72;14.54;;69.56
;;;;;76;53.04;17.93;;69.31
;;;;;;77;;;68.76
;;;;;;78;;;67.55
;;;;;;79;;;65.48
;;;;;;80;;;62.55
;;;;;;81;;;58.95
;;;;;;82;;;54.27
;;;;;;83;;;47.98
;;;;;;84;;;40.31
;;;;;;85;;;31.13
;;;;;;86;;;20.24
;;;;;;87;;;8.47
;;;;;;88;;;-3.33
;;;;;;89;;;-14.54
;;;;;;90;;;-24.77
;;;;;;91;;;-33.05
;;;;;;92;;;-38.32
;;;;;;93;;;-40.24
;;;;;;94;;;-38.68
;;;;;;95;;;-33.81
;;;;;;96;;;-26.22
;;;;;;97;;;-17.4
;;;;;;98;;;-7.12
;;;;;;99;;;5.53
;;;;;;100;;;19.71
