;rms_mean_(µV);mvc_(µV);mvc_h_(µV);;frames_(0.25s);rms_biceps_brachii_(right)_(µV);rms_triceps_brachii_long_(right)_(µV);angles_window;angles_biceps_brachii_(right)_triceps_brachii_long_(right)
"biceps_brachii_(right)";70.53;201.17;5528.98;;0;71.43;47.97;0.05;72.33
"triceps_brachii_long_(right)";31.05;81.33;19046.88;;1;59.55;30.49;;71.55
;;;;;2;56.92;22.71;;70.48
;;;;;3;57.32;21.17;;69.21
;;;;;4;48.98;16.55;;67.98
;;;;;5;37.37;14.47;;67.18
;;;;;6;35.93;16.03;;67.07
;;;;;7;39.47;19.49;;67.31
;;;;;8;37.44;19.82;;67.52
;;;;;9;29.35;17.81;;67.46
;;;;;10;25.59;18.37;;67.18
;;;;;11;27;19.21;;67.11
;;;;;12;28.25;18.98;;67.34
;;;;;13;30.88;15.32;;67.51
;;;;;14;40.82;17.04;;67.52
;;;;;15;40.03;28.65;;67.54
;;;;;16;89.43;41.21;;67.68
;;;;;17;131.75;61.61;;67.78
;;;;;18;118.17;62;;67.56
;;;;;19;68.58;36.77;;67.2
;;;;;20;32.81;25.85;;67.03
;;;;;21;33.49;25.56;;67.04
;;;;;22;35.58;26.67;;67.01
;;;;;23;92.25;66.88;;66.9
;;;;;24;98.98;71.53;;66.66
;;;;;25;47.92;39.93;;66.37
;;;;;26;42.18;23.33;;66.19
;;;;;27;49.36;21.19;;66.07
;;;;;28;53.15;34.23;;65.9
;;;;;29;120.54;49.62;;65.6
;;;;;30;135.07;47.99;;65.31
;;;;;31;78.48;28.07;;65.11
;;;;;32;43;17.98;;64.93
;;;;;33;51.23;24.94;;64.74
;;;;;34;59.07;31.04;;64.54
;;;;;35;92.56;49.74;;64.28
;;;;;36;104.88;60.29;;64.15
;;;;;37;70.01;44.38;;64.14
;;;;;38;30.85;17.32;;64.06
;;;;;39;43.35;25.11;;63.65
;;;;;40;47.95;27.88;;62.72
;;;;;41;72.44;41.01;;61.52
;;;;;42;132.41;67.04;;60.48
;;;;;43;119.45;57.72;;59.64
;;;;;44;63.29;27.44;;58.79
;;;;;45;79.42;25.41;;57.75
;;;;;46;117.47;24.94;;56.74
;;;;;47;174.03;43.26;;56.05
;;;;;48;147.41;43.37;;55.6
;;;;;49;43.23;21.96;;55.27
;;;;;50;25.93;14.24;;55.14
;;;;;51;30.97;18.59;;55.13
;;;;;52;98.36;17.31;;55.11
;;;;;53;189.91;36.04;;55.03
;;;;;54;189.51;40.83;;55.12
;;;;;55;119.26;25.26;;55.36
;;;;;56;87.95;14;;55.41
;;;;;57;62.82;13.94;;55.12
;;;;;58;57.7;19.92;;54.73
;;;;;59;87.79;30.77;;54.45
;;;;;60;98.41;46.93;;54.36
;;;;;61;87.35;44.77;;54.43
;;;;;62;67.6;26.86;;54.37
;;;;;63;51.26;27.69;;54.23
;;;;;64;47.01;25.29;;54.21
;;;;;65;123.61;30.57;;54.24
;;;;;66;134.81;50.57;;54.24
;;;;;67;67.18;48.71;;54.21
;;;;;68;43.35;29.13;;54.26
;;;;;69;41.16;21.23;;54.54
;;;;;70;40.27;20.91;;55.09
;;;;;71;128.29;22.15;;55.65
;;;;;72;153.06;48.47;;55.6
;;;;;73;122.36;61.23;;53.99
;;;;;74;91.7;46.87;;49.89
;;;;;75;39.26;28.9;;42.89
;;;;;76;115.81;54.14;;33.48
;;;;;77;166.54;65.74;;22.17
;;;;;78;201.17;81.33;;9.68
;;;;;79;173.68;76.99;;-3.44
;;;;;80;75.72;44.27;;-14.26
;;;;;81;46.2;32.09;;-19.34
;;;;;82;53.53;19.26;;-22.6
;;;;;83;109.41;29.69;;-28.06
;;;;;84;190.71;61.9;;-35.08
;;;;;85;178.49;66.53;;-42.23
;;;;;86;83.92;42.37;;-48.21
;;;;;87;47.2;26.49;;-51.84
;;;;;88;32;18.95;;-54.62
;;;;;89;28.1;17.37;;-58.43
;;;;;90;23.96;19.13;;-59.77
;;;;;91;22.29;18.26;;-55.34
;;;;;92;22.11;15.22;;-46.48
;;;;;93;20.22;12.97;;-34.57
;;;;;94;18;10.8;;-19.97
;;;;;95;15.65;9.34;;-3.58
;;;;;96;13.75;8.64;;14.3
;;;;;97;12.63;8.59;;32.84
;;;;;98;11.29;7.96;;49.79
;;;;;99;11.05;7.34;;64.55
;;;;;100;11.71;7.72;;79.19
;;;;;101;11.01;7.24;;95.33
;;;;;102;11.7;7.23;;110.95
;;;;;103;12.91;7.52;;120.01
;;;;;104;12.15;6.41;;118.99
;;;;;;105;;;110.74
;;;;;;106;;;99.73
;;;;;;107;;;88.16
;;;;;;108;;;76.09
;;;;;;109;;;63.21
;;;;;;110;;;49.06
;;;;;;111;;;32.63
;;;;;;112;;;13.86
;;;;;;113;;;-5.71
;;;;;;114;;;-24.25
;;;;;;115;;;-40.4
;;;;;;116;;;-52.47
;;;;;;117;;;-59.56
;;;;;;118;;;-63.1
;;;;;;119;;;-64.24
;;;;;;120;;;-63.8
;;;;;;121;;;-63.22
;;;;;;122;;;-61.77
;;;;;;123;;;-58
;;;;;;124;;;-51.22
;;;;;;125;;;-40.5
;;;;;;126;;;-25.56
;;;;;;127;;;-6.8
;;;;;;128;;;13.83
;;;;;;129;;;33.3
;;;;;;130;;;50.28
;;;;;;131;;;65.51
;;;;;;132;;;80.02
;;;;;;133;;;92.82
;;;;;;134;;;101.23
;;;;;;135;;;102.69
;;;;;;136;;;96.59
;;;;;;137;;;85.16
;;;;;;138;;;70.68
;;;;;;139;;;53.51
;;;;;;140;;;34.79
;;;;;;141;;;16.16
;;;;;;142;;;-2.09
;;;;;;143;;;-19.65
;;;;;;144;;;-36.52
;;;;;;145;;;-52.76
;;;;;;146;;;-66.33
;;;;;;147;;;-74.42
;;;;;;148;;;-77.55
;;;;;;149;;;-77.95
;;;;;;150;;;-76.55
;;;;;;151;;;-73.35
;;;;;;152;;;-67.97
;;;;;;153;;;-59.48
;;;;;;154;;;-47.71
;;;;;;155;;;-32.88
;;;;;;156;;;-14.87
;;;;;;157;;;5.17
;;;;;;158;;;25.33
;;;;;;159;;;43.72
