------------------------------------ Samples: 0->-1 ------------------------------------
0:    -148.870 -30.052-2966.14653206.082
1:    -148.902 -30.052-2966.14653206.082
2:    -148.937 -33.212-2966.14653206.082
3:    -148.976 -36.310-2909.47753206.082
4:    -149.018 -39.349-2852.80753206.082
5:    -149.063 -42.327-2796.13853206.082
6:    -149.111 -45.245-2739.46953206.082
7:    -149.162 -48.102-2682.80053206.082
8:    -149.217 -50.899-2626.13153206.082
9:    -149.274 -53.636-2569.46253206.082
10:   -149.334 -56.312-2512.79353206.082
11:   -149.397 -58.928-2456.12453206.082
12:   -149.462 -61.484-2399.45553206.082
13:   -149.530 -63.979-2342.78653206.082
14:   -149.601 -66.414-2286.11753206.082
15:   -149.674 -68.789-2229.44853206.082
16:   -149.750 -71.103-2172.77953206.082
17:   -149.828 -73.357-2116.11053206.082
18:   -149.909 -75.550-2059.44153206.082
19:   -149.991 -77.683-2002.77253206.082
20:   -150.076 -79.756-1946.10353206.082
21:   -150.163 -81.768-1889.43453206.082
22:   -150.252 -83.720-1832.76553206.082
23:   -150.344 -85.612-1776.09653206.082
24:   -150.437 -87.443-1719.42753206.082
25:   -150.532 -89.214-1662.75853206.082
26:   -150.629 -90.925-1606.08953206.082
27:   -150.727 -92.575-1549.42053206.082
28:   -150.828 -94.165-1492.75153206.082
29:   -150.929 -95.695-1436.08253206.082
30:   -151.033 -97.164-1379.41353206.082
31:   -151.138 -98.573-1322.74453206.082
32:   -151.244 -99.921-1266.07553206.082
33:   -151.352-101.209-1209.40653206.082
34:   -151.461-102.437-1152.73753206.082
35:   -151.572-103.605-1096.06853206.082
36:   -151.683-104.712-1039.39953206.082
37:   -151.796-105.758-982.73053206.082
38:   -151.909-106.745-926.06153206.082
39:   -152.024-107.671-869.39253206.082
40:   -152.140-108.536-812.72353206.082
41:   -152.256-109.342-756.05453206.082
42:   -152.373-110.086-699.38553206.082
43:   -152.491-110.771-642.71653206.082
44:   -152.610-111.395-586.04653206.082
45:   -152.729-111.959-529.37753206.082
46:   -152.849-112.462-472.70853206.082
47:   -152.969-112.906-416.03953206.082
48:   -153.090-113.288-359.37053206.082
49:   -153.211-113.611-302.70153206.082
50:   -153.332-113.873-246.03253206.082
51:   -153.454-114.075-189.36353206.082
52:   -153.575-114.216-132.69453206.082
53:   -153.697-114.297 -76.02553206.082
54:   -153.819-114.317 -19.35653206.082
55:   -153.941-114.278  37.31353206.082
56:   -154.062-114.178  93.98253206.082
57:   -154.184-114.017 150.65153206.082
58:   -154.305-113.796 207.32053206.082
59:   -154.426-113.515 263.98953206.082
60:   -154.546-113.174 320.65853206.082
61:   -154.666-112.772 377.32753206.082
62:   -154.786-112.309 433.99653206.082
63:   -154.905-111.787 490.66553206.082
64:   -155.024-111.204 547.33453206.082
65:   -155.141-110.561 604.00353206.082
66:   -155.258-109.857 660.67253206.082
67:   -155.375-109.093 717.34153206.082
68:   -155.490-108.269 774.01053206.082
69:   -155.604-107.384 830.67953206.082
70:   -155.718-106.439 887.34853206.082
71:   -155.830-105.433 944.01753206.082
72:   -155.941-104.3671000.68653206.082
73:   -156.051-103.2411057.35553206.082
74:   -156.160-102.0551114.02453206.082
75:   -156.267-100.8081170.69353206.082
76:   -156.373 -99.5011227.36253206.082
77:   -156.478 -98.1331284.03153206.082
78:   -156.581 -96.7051340.70053206.082
79:   -156.682 -95.2171397.36953206.082
80:   -156.782 -93.6681454.03853206.082
81:   -156.880 -92.0591510.70753206.082
82:   -156.976 -90.3901567.37653206.082
83:   -157.071 -88.6601624.04553206.082
84:   -157.163 -86.8701680.71453206.082
85:   -157.254 -85.0191737.38453206.082
86:   -157.342 -83.1081794.05253206.082
87:   -157.429 -81.1371850.72253206.082
